SPCD,COMMON_NAME,GENUS,SPECIES,SCIENTIFIC_NAME
552,Oregon white oak,Quercus,garryana,Quercus garryana
555,canyon live oak,Quercus,chrysolepis,Quercus chrysolepis
591,live oak,Quercus,virginiana,Quercus virginiana
601,sweetgum,Liquidambar,styraciflua,Liquidambar styraciflua
602,yellow-poplar,Liriodendron,tulipifera,Liriodendron tulipifera
611,cucumbertree,Magnolia,acuminata,Magnolia acuminata
621,southern magnolia,Magnolia,grandiflora,Magnolia grandiflora
651,American sycamore,Platanus,occidentalis,Platanus occidentalis
652,California sycamore,Platanus,racemosa,Platanus racemosa
653,Arizona sycamore,Platanus,wrightii,Platanus wrightii
680,sycamore species,Platanus,spp.,Platanus spp.
691,black walnut,Juglans,nigra,Juglans nigra
693,California black walnut,Juglans,californica,Juglans californica
694,Arizona walnut,Juglans,major,Juglans major
701,butternut,Juglans,cinerea,Juglans cinerea
711,pecan,Carya,illinoinensis,Carya illinoinensis
731,bitternut hickory,Carya,cordiformis,Carya cordiformis
740,pignut hickory,Carya,glabra,Carya glabra
741,red hickory,Carya,ovalis,Carya ovalis
742,mockernut hickory,Carya,tomentosa,Carya tomentosa
743,shagbark hickory,Carya,ovata,Carya ovata
746,shellbark hickory,Carya,laciniosa,Carya laciniosa
747,sand hickory,Carya,pallida,Carya pallida
762,black hickory,Carya,texana,Carya texana
800,mulberry species,Morus,spp.,Morus spp.
802,Osage-orange,Maclura,pomifera,Maclura pomifera
804,mulberry species,Morus,spp.,Morus spp.
806,fig species,Ficus,spp.,Ficus spp.
809,paper mulberry,Broussonetia,papyrifera,Broussonetia papyrifera
812,tree-of-heaven,Ailanthus,altissima,Ailanthus altissima
813,Chinese elm,Ulmus,parvifolia,Ulmus parvifolia
817,elm species,Ulmus,spp.,Ulmus spp.
820,hackberry,Celtis,occidentalis,Celtis occidentalis
822,sugarberry,Celtis,laevigata,Celtis laevigata
823,dwarf hackberry,Celtis,tenuifolia,Celtis tenuifolia
825,netleaf hackberry,Celtis,reticulata,Celtis reticulata
826,hackberry species,Celtis,spp.,Celtis spp.
827,water elm,Planera,aquatica,Planera aquatica
828,winged elm,Ulmus,alata,Ulmus alata
830,cedar elm,Ulmus,crassifolia,Ulmus crassifolia
831,rock elm,Ulmus,thomasii,Ulmus thomasii
832,slippery elm,Ulmus,rubra,Ulmus rubra
833,Siberian elm,Ulmus,pumila,Ulmus pumila
834,American elm,Ulmus,americana,Ulmus americana
835,wych elm,Ulmus,glabra,Ulmus glabra
837,Dutch elm,Ulmus,hollandica,Ulmus hollandica
838,September elm,Ulmus,serotina,Ulmus serotina
901,redbud,Cercis,canadensis,Cercis canadensis
920,locust species,Robinia,spp.,Robinia spp.
922,black locust,Robinia,pseudoacacia,Robinia pseudoacacia
931,honey locust,Gleditsia,triacanthos,Gleditsia triacanthos
950,Kentucky coffeetree,Gymnocladus,dioicus,Gymnocladus dioicus
951,Kentucky coffeetree,Gymnocladus,dioicus,Gymnocladus dioicus
970,mesquite,Prosopis,spp.,Prosopis spp.
971,mesquite,Prosopis,spp.,Prosopis spp.
972,huisache,Acacia,farnesiana,Acacia farnesiana
975,catclaw acacia,Acacia,greggii,Acacia greggii
999,unknown tree,Unknown,unknown,Unknown unknown
